gene_id1,gene_id2,p_val_cond
Itgb1,Thbs1,1.164405460940543e-09
Ctsd,Lox,1.200269328371917e-09
Aebp1,Sdc1,1.2126263326806e-09
Bgn,Grn,1.232722590671642e-09
Col6a1,Loxl3,1.253538717271852e-09
Pdia4,Postn,1.295189622219084e-09
Bgn,Dhcr24,1.311672215287274e-09
Axl,Pdia6,1.347024047859691e-09
Col1a1,Npnt,1.370169311343261e-09
Itgb1,Serpinf1,1.383138159560815e-09
Col3a1,Thbs1,1.406012861693284e-09
Ldlr,Ptx3,1.414971251278985e-09
Col3a1,Tnc,1.428554274873761e-09
Itgb1,Ptx3,1.43094869287097e-09
Arhgap10,Ung,1.477412969741465e-09
Postn,Vcan,1.530437443442167e-09
Itgb1,Pdia4,1.564342544391195e-09
Col5a1,Loxl3,1.664601345652272e-09
Fbln2,Npnt,1.67321334565429e-09
Emp1,Pdia3,1.706180308147509e-09
Fbn1,Thbs1,1.726815024305495e-09
Cd248,P4hb,1.779227432052721e-09
Col5a2,Emp1,1.812081373842034e-09
Aqp1,P4hb,1.832361373743652e-09
Col5a2,Fstl1,1.894465029295134e-09
Fn1,Tmem97,1.948637473603299e-09
Aebp1,Vcl,2.039147961596655e-09
Lox,Sdc1,2.188623726695482e-09
Lox,Pcolce,2.224768702596691e-09
Ctsd,Fbln2,2.258049525138972e-09
Col4a2,Postn,2.312184443908905e-09
Lamc1,Tnc,2.329155202041022e-09
Fn1,Mmp14,2.351540295819632e-09
Hspg2,Vcl,2.525478381976143e-09
Col6a3,Lrp1,2.712268853954924e-09
Col6a1,Il6st,2.715708657952121e-09
Col5a2,Ganab,2.735815685106502e-09
Ltbp2,Nid1,2.780085939235732e-09
Fstl1,Pdia4,2.843147273168256e-09
Slit2,Thbs1,2.95866986466109e-09
Fbln2,Man2a1,2.964002598915272e-09
Ldlr,Vasn,2.96737712179862e-09
Lox,Npnt,2.981429436665906e-09
Col1a1,Pkd2,2.990196645846765e-09
Calu,Col5a2,3.106973567312821e-09
Lox,Myadm,3.19981463547947e-09
Nid1,Slc3a2,3.202505038935044e-09
Cd44,Col1a1,3.296338091374196e-09
Cd248,Pcdh19,3.363903267050716e-09
Dag1,Fn1,3.472248821800861e-09
Col3a1,Itgb1,3.494369127388097e-09
Nid1,Pcdh19,3.649181623543996e-09
Col5a2,Fbn1,3.659857639171094e-09
Calu,Fgfr1,3.72496911094089e-09
Calu,Slc7a5,3.926184821700929e-09
Col6a2,Fkbp9,4.000360931399882e-09
Col1a1,Slc2a1,4.34879687816192e-09
