opc,mye,opc_n,mye_n,opal,lx,ly,rep,d
0.7215540950467669,0.2512922151167276,5,18,10,16281.9,11245.5,rep2,-0.4702618799300393
0.4864848650125888,0.6584311789323047,60,6,1,16297.3,10973.9,rep2,0.17194631391971593
0.651101877877305,0.5034451638513113,24,13,9,16703.1,10905.3,rep2,-0.14765671402599367
0.5602766512135356,0.8130360028332578,19,3,0,18183.7,9472.5,rep2,0.2527593516197222
0.6229361995993722,0.4029320766766818,6,18,7,16078.5,10205.2,rep2,-0.2200041229226904
0.38234322491241185,0.4406189028317513,63,6,0,15908.0,9858.5,rep2,0.058275677919339464
0.5128703682757781,0.19068713427256145,41,4,0,16222.3,11455.7,rep2,-0.3221832340032167
0.3530144088710105,0.594215084125943,32,7,0,15655.5,11505.5,rep2,0.24120067525493255
0.4476182625089515,0.561456364458274,52,4,0,22351.6,20449.1,rep2,0.11383810194932248
0.6542841825267539,0.5279793544863307,15,18,9,21452.1,20151.0,rep2,-0.1263048280404232
0.30070146685723625,0.4176467752413459,66,6,0,20411.4,23303.8,rep2,0.11694530838410966
0.5709007913328562,0.5116322279851729,12,33,12,19958.9,22254.8,rep2,-0.05926856334768327
0.4262810827152615,0.559562580560724,51,6,0,33368.2,8635.1,rep2,0.13328149784546256
0.46524315019513046,0.34138432380641126,33,19,7,33160.4,10234.8,rep2,-0.1238588263887192
0.31166289027645866,0.6825588148086155,36,10,5,33640.8,10529.8,rep2,0.3708959245321568
0.47057094259701726,0.35659380891148484,20,22,27,32025.1,10248.8,rep2,-0.11397713368553242
0.30005398134602673,0.3822865182504447,59,6,0,32781.5,8160.6,rep2,0.08223253690441795
0.3926562716798051,0.5729231998819306,44,10,5,34180.4,11011.5,rep2,0.18026692820212553
0.3760542524365178,0.737567764851623,26,10,5,31163.3,11370.9,rep2,0.3615135124151052
0.2796517537102933,0.25381399888523887,47,18,22,31735.4,9415.7,rep2,-0.02583775482505446
0.4144712974394938,0.6486647459878959,28,29,12,31287.0,10747.1,rep2,0.23419344854840213
0.410993008617453,0.27243265711948167,34,16,3,31663.7,10043.8,rep2,-0.13856035149797136
0.28588359122197426,0.3614654420455726,20,42,28,32105.0,10054.1,rep2,0.07558185082359836
0.32682460135125774,0.3267887617167632,6,26,13,31339.1,8463.0,rep2,-3.5839634494549966e-05
0.3893962749766816,0.4941005747076331,34,4,0,37750.9,22325.8,rep2,0.10470429973095147
0.31593776823337116,0.24447954958302348,54,25,29,35251.1,22648.3,rep2,-0.07145821865034768
0.5804137062931606,0.6110917328461136,80,6,2,35422.4,22178.8,rep2,0.03067802655295304
0.4268431272479017,0.5889407417276773,43,5,0,3295.8,12589.7,rep2,0.1620976144797756
0.4427323288889573,0.6379126932806755,64,30,0,18918.9,12488.6,rep2,0.19518036439171815
0.4850152255194056,0.7193979097357214,49,11,0,18726.6,14974.8,rep2,0.23438268421631575
0.46513296145667166,0.6526932876908276,63,15,0,18053.1,13259.0,rep2,0.18756032623415592
0.507471509053072,0.5349377085592869,46,71,0,19108.6,13452.2,rep2,0.027466199506214872
0.384131840256252,0.735016302163249,60,18,0,19180.6,13206.3,rep2,0.35088446190699696
0.36323145179490013,0.7460469588202555,62,28,0,16929.7,14528.9,rep2,0.3828155070253554
0.39686558163281643,0.6465005613582762,48,23,2,17293.8,14084.4,rep2,0.24963497972545973
0.34942235356267687,0.678180242208651,54,18,0,17098.3,15578.1,rep2,0.32875788864597416
0.3885887685484534,0.6998722055673839,49,26,0,17301.6,13629.3,rep2,0.3112834370189305
0.34062185682645013,0.7453943163295456,33,17,0,15789.6,12639.9,rep2,0.4047724595030954
0.7592375730940292,0.4580903011667503,10,41,17,15747.2,12810.2,rep2,-0.30114727192727886
0.5821826684235566,0.6102426396294467,5,31,6,17762.8,14405.6,rep2,0.0280599712058901
0.34174378790663096,0.7156049573150924,44,37,0,17581.6,14910.4,rep2,0.3738611694084615
0.5042522187965506,0.6148518292713522,57,21,0,16178.4,13803.9,rep2,0.1105996104748016
0.4243494113391736,0.598833526139859,43,27,0,16923.3,12222.2,rep2,0.17448411480068537
0.6186517737185216,0.52831466372035,16,33,18,22814.7,24817.4,rep2,-0.09033710999817168
0.3654598706702845,0.34487683580762235,11,19,16,20882.5,26820.7,rep2,-0.020583034862662164
0.6018624092275122,0.3978604645254051,53,9,3,21681.0,24602.4,rep2,-0.20400194470210714
0.922213221953401,0.3776073565346282,7,33,25,22099.6,24863.1,rep2,-0.5446058654187729
0.4859408152268141,0.5838774195461325,35,13,3,19876.0,25962.8,rep2,0.09793660431931839
0.4775402626545823,0.38934135409454357,43,6,0,27532.8,3817.2,rep2,-0.08819890856003876
0.5239499349746617,0.6871337797234035,40,5,3,34655.5,14771.0,rep2,0.1631838447487418
0.7239049875104403,0.46281280294666854,10,34,29,34723.9,12976.0,rep2,-0.26109218456377176
0.404664532933897,0.6929046300317802,29,6,0,34283.8,14426.4,rep2,0.2882400970978832
0.5899399247445761,0.4356188013471654,17,27,10,33218.1,14722.3,rep2,-0.15432112339741072
0.644649776174792,0.5432171238492822,8,21,1,32305.8,13722.2,rep2,-0.1014326523255098
0.312000715475472,0.6580465782225069,32,7,0,34185.4,15834.0,rep2,0.3460458627470349
0.4967400292198578,0.3064850852572856,16,22,7,33218.5,12520.8,rep2,-0.1902549439625722
0.32038484937267675,0.3838622010874064,33,22,1,32810.8,14218.2,rep2,0.06347735171472962
0.25279334740070214,0.6221088087088842,39,17,1,31569.8,13248.8,rep2,0.36931546130818205
0.4241157416560415,0.6257126150794872,31,16,0,32050.6,13437.7,rep2,0.20159687342344568
0.506056432878586,0.6567832644225714,48,12,0,31791.5,14929.0,rep2,0.15072683154398536
0.5010347503882244,0.7067890741760725,55,22,1,31273.0,15225.7,rep2,0.20575432378784808
0.35233110708976484,0.4447331424568627,33,7,0,32961.6,12414.7,rep2,0.09240203536709785
0.5232130760854578,0.5895493131645847,3,26,9,31274.8,14161.6,rep2,0.06633623707912695
