pole,Term,Adjusted P-value,Genes
BASAL,Kinase Binding (GO:0019900),0.2304915069345635,PDGFRB;ACTA2;CAV1;PTN
BASAL,Protein Kinase Binding (GO:0019901),0.2304915069345635,PDGFRB;ACTA2;CAV1;PTN
BASAL,Epithelial Mesenchymal Transition,0.0056938048854221,PDGFRB;ACTA2;POSTN;SFRP1;DST;LUM;MYLK
BASAL,UV Response Dn,0.0612967811983031,PDGFRB;CAV1;RUNX1
BASAL,Myogenesis,0.0676563816517342,SVIL;MYH11;MYLK
BASAL,Apoptosis,0.1936379564352224,PDGFRB;LUM;CAV1
BASAL,Smooth Muscle Contraction R-HSA-445355,0.0053652401152124,ACTA2;MYH11;ACTG2;MYLK
BASAL,Muscle Contraction R-HSA-397014,0.0359214891647073,ACTA2;MYH11;ACTG2;MYLK
BASAL,Developmental Biology R-HSA-1266738,0.1272290443346399,ENAH;KRT16;KRT14;MYH11;KRT5;KRT6B;RUNX1
BASAL,Keratinization R-HSA-6805567,0.1272290443346399,KRT16;KRT14;KRT5;KRT6B
BASAL,Signaling By Rho GTPases R-HSA-194315,0.1321822804146272,DST;CAV1;MYH11;MYLK
BASAL,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.1321822804146272,DST;CAV1;MYH11;MYLK
BASAL,Signal Transduction R-HSA-162582,0.2625648892964518,PDGFRB;ACTA2;SFRP1;DST;CAV1;MYH11;PTN;MYLK;RUNX1
BASAL,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,0.2625648892964518,PDGFRB;CAV1;PTN
BASAL,Disease R-HSA-1643685,0.6616384121150215,PDGFRB;LUM;CAV1
BASAL,Immune System R-HSA-168256,0.9848501475214068,ENAH;FCER1G;LYZ
BASAL,Markers Of Kidney Cell Lineage WP5236,0.3064839059915155,PDGFRB;ACTA2;SFRP1
BASAL,Regulation Of Actin Cytoskeleton WP51,0.3064839059915155,PDGFRB;ENAH;MYLK
BASAL,A Network Map Of Macrophage Stimulating Protein MSP Signaling WP5353,0.3222331922604918,PDGFRB;ACTA2;ZEB2
BASAL,Focal Adhesion WP306,0.3222331922604918,PDGFRB;CAV1;MYLK
BASAL,Pleural Mesothelioma WP5087,0.3744806681182627,PDGFRB;ACTA2;SFRP1;ACTG2
